Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
4818,24.5,15.2,8.3,47.9,20.9
4819,20.6,15.4,8.2,44.2,22.6
4820,24.2,15.3,8.2,47.7,21.0
4821,20.4,15.5,8.2,44.2,22.6
4822,22.7,16.0,8.3,46.9,21.3
4823,20.2,15.5,8.3,43.9,22.8
4824,24.4,15.3,8.3,48.0,20.8
4825,20.5,17.1,8.3,45.9,21.8
4826,26.7,15.4,8.2,50.4,19.9
4827,20.5,15.9,8.2,44.7,22.4
4828,25.8,15.4,8.3,49.5,20.2
4829,20.6,15.9,8.2,44.7,22.4
4830,26.0,15.5,8.3,49.8,20.1
4831,20.7,15.9,9.6,46.2,21.7
4832,24.9,15.5,8.9,49.3,20.3
4833,20.6,15.8,8.1,44.5,22.5
4834,24.4,15.6,8.2,48.2,20.8
4835,20.5,15.8,8.3,44.7,22.4
4836,25.3,15.5,9.0,49.8,20.1
4837,21.4,15.6,9.0,46.0,21.7
4838,25.5,15.2,8.1,48.8,20.5
4839,20.6,15.6,8.2,44.3,22.6
4840,24.2,15.4,9.1,48.7,20.6
4841,20.3,15.5,8.8,44.7,22.4
4842,24.3,15.4,8.1,47.7,21.0
4843,20.6,15.7,9.1,45.3,22.1
4844,25.3,15.3,8.1,48.6,20.6
4845,20.5,15.6,9.0,45.2,22.1
4846,24.4,15.4,8.1,48.0,20.8
4847,21.6,15.6,9.1,46.3,21.6
4848,25.5,15.3,8.9,49.7,20.1
4849,21.6,15.6,9.0,46.1,21.7
4850,26.3,15.3,8.1,49.7,20.1
4851,21.2,15.5,8.3,45.0,22.2
4852,24.5,15.5,9.2,49.2,20.3
4853,20.2,15.6,8.1,43.9,22.8
4854,19.8,15.6,8.3,43.7,22.9
4855,21.2,15.7,8.3,45.2,22.1
4856,20.3,15.3,8.3,43.9,22.8
4857,24.3,15.5,8.3,48.1,20.8
4858,20.6,15.6,8.2,44.4,22.5
4859,25.3,15.4,9.1,49.8,20.1
4860,21.5,15.3,8.9,45.8,21.8
4861,25.7,15.4,9.0,50.1,20.0
4862,20.5,15.3,8.1,44.0,22.7
4863,24.4,15.4,8.3,48.1,20.8
4864,20.6,15.5,9.1,45.2,22.1
4865,26.2,15.6,9.0,50.8,19.7
4866,21.9,15.4,9.0,46.3,21.6
4867,24.6,15.6,8.9,49.0,20.4
4868,20.6,15.3,8.1,44.0,22.7
4869,24.5,15.6,9.1,49.2,20.3
4870,21.7,15.5,9.1,46.2,21.6
4871,24.5,15.5,9.0,49.0,20.4
