Frame,Inference(ms),Process(ms),Display(ms),Total(ms),FPS
5621,22.5,7.2,158.6,188.4,5.3
5622,23.2,7,174.6,204.9,4.9
5623,22.2,6.9,156.9,186,5.4
5624,22.9,7.1,164.5,194.5,5.1
5625,22.1,6.9,163.1,192.1,5.2
5626,23.7,7.3,165.1,196.1,5.1
5627,22.2,6.9,171.4,200.5,5
5628,23.3,7.3,152.3,182.8,5.5
5629,22.5,7.2,166.1,195.8,5.1
5630,23.2,7.1,160.1,190.4,5.3
5631,22.1,7,163.2,192.3,5.2
5632,22.7,7.1,162.4,192.2,5.2
5633,22.1,7.1,163,192.1,5.2
5634,23,7.1,164.4,194.6,5.1
5635,22.6,7.3,153,182.9,5.5
5636,23.3,7.3,154.1,184.6,5.4
5637,22.5,7.2,166.7,196.4,5.1
5638,23.2,7,166.5,196.7,5.1
5639,22.5,7.2,158.4,188.1,5.3
5640,22.6,7,168.5,198.1,5
5641,22.1,7,195.1,224.1,4.5
5642,23,7.1,156.7,186.8,5.4
5643,22,6.9,183.2,212.1,4.7
5644,22.5,7,186.5,216,4.6
5645,21.9,7,163.6,192.5,5.2
5646,23.1,7,154.8,184.9,5.4
5647,22.5,7,164.9,194.4,5.1
5648,22.7,7,163.1,192.8,5.2
5649,22,7,172.3,201.2,5
5650,22.9,7.1,166.2,196.2,5.1
5651,22,7,158.3,187.3,5.3
5652,22.5,7.1,156.8,186.4,5.4
5653,21.9,7,161.9,190.8,5.2
5654,23,7,159,189,5.3
5655,22.4,7,211.8,241.2,4.1
5656,23.3,7.3,157.5,188.1,5.3
5657,22.3,7,165.6,194.9,5.1
5658,23.5,7,158.1,188.6,5.3
5659,22.3,7.5,163.6,193.3,5.2
5660,22.9,7.1,151.9,181.9,5.5
5661,22.2,7,162,191.2,5.2
5662,23.2,7,167.8,198,5.1
5663,22,7,169.5,198.5,5
5664,22.8,7,155.8,185.5,5.4
5665,22.2,6.9,167.1,196.2,5.1
5666,23.1,7,156.4,186.6,5.4
5667,22.2,7,168.7,197.8,5.1
5668,23.3,7.2,154.4,184.9,5.4
5669,22.4,7,169.4,198.7,5
5670,23.5,7.3,168,198.7,5
5671,22,6.9,175.4,204.3,4.9
5672,22.7,7,187.8,217.6,4.6
5673,22.2,7,177.3,206.4,4.8
5674,22.8,7,176.8,206.6,4.8
5675,21.9,7,177.8,206.8,4.8
5676,22.6,7,147.7,177.3,5.6
5677,22.1,7,155.8,184.8,5.4
5678,22.8,7,182.7,212.6,4.7
5679,22,7,160.4,189.4,5.3
5680,22.6,7,166.9,196.5,5.1
5681,22,7,158.9,187.8,5.3
5682,22.9,7,170.2,200,5
5683,22.6,7.2,168,197.8,5.1
5684,23.2,7.3,155.1,185.6,5.4
5685,21.9,6.9,167.1,195.9,5.1
5686,23,7.1,160.1,190.2,5.3
5687,22,7,167,196,5.1
5688,22.6,7,163.6,193.2,5.2
5689,22.6,7.2,171,200.8,5
5690,22.9,7,155.2,185.1,5.4
5691,22.6,7.2,165.8,195.6,5.1
5692,23.2,7.3,166.1,196.5,5.1
5693,21.9,7,170.5,199.4,5
5694,22.9,7,163.4,193.3,5.2
5695,21.9,6.9,161.3,190.1,5.3
5696,22.9,7,162.3,192.3,5.2
5697,21.9,7,162,190.9,5.2
5698,23.1,7,176.1,206.2,4.8
5699,21.9,6.9,161.2,190.1,5.3
5700,22.7,7,191.4,221.1,4.5
5701,22,7,169.3,198.3,5
5702,22.8,7,163.2,193.1,5.2
5703,21.9,7,193.2,222,4.5
5704,22.5,7,205.5,235.1,4.3
5705,22,7,166.1,195.1,5.1
5706,22.8,7,155.9,185.7,5.4
5707,21.9,7,166.8,195.6,5.1
5708,22.7,7,162.3,192,5.2
5709,22.1,6.9,161.4,190.4,5.3
5710,23,7,148.2,178.2,5.6
5711,22.7,7.3,170.1,200.1,5
5712,22.8,7.1,166.3,196.2,5.1
5713,22.3,7,165.7,194.9,5.1
5714,23.1,7,168.3,198.4,5
